0.3344,0.8111
0.34,0.8138
0.3525,0.8148
0.3733,0.8137
0.4045,0.8103
0.4476,0.8045
0.5042,0.7966
0.5751,0.7871
0.6598,0.7768
0.7565,0.7667
0.8622,0.7573
0.973,0.7483
1.0852,0.739
1.1959,0.7283
1.303,0.7157
1.405,0.701
1.501,0.6844
1.59,0.6662
1.6716,0.6471
1.7455,0.6275
1.8116,0.608
1.8703,0.5889
1.9218,0.5707
1.9668,0.5536
2.0056,0.5377
2.0391,0.5231
2.0678,0.5098
2.0923,0.4979
2.1131,0.4872
2.1307,0.4778
2.1456,0.4695
2.1581,0.4623
2.1686,0.4561
2.1774,0.4508
2.1846,0.4463
2.1906,0.4426
2.1954,0.4396
2.1993,0.4372
2.2023,0.4354
2.2046,0.4341
2.2062,0.4333
2.2073,0.433
2.2079,0.4331
2.208,0.4336
2.2078,0.4345
2.2072,0.4357
2.2062,0.4373
2.205,0.4392
2.2035,0.4415
2.2018,0.444
2.1998,0.4469
2.1977,0.4501
2.1953,0.4536
2.1928,0.4574
2.1901,0.4615
2.1872,0.466
2.1843,0.4708
2.1811,0.4759
2.1778,0.4814
2.1745,0.4872
2.1709,0.4934
2.1673,0.5
2.1636,0.507
2.1598,0.5143
2.1559,0.5221
2.1519,0.5304
2.1478,0.5391
2.1436,0.5482
2.1394,0.5579
2.1351,0.568
2.1308,0.5787
2.1264,0.5898
2.1219,0.6016
2.1174,0.6138
2.1129,0.6267
2.1084,0.6402
2.1038,0.6542
2.0992,0.6689
2.0946,0.6842
2.09,0.7001
2.0854,0.7167
2.0808,0.7339
2.0762,0.7518
2.0716,0.7704
2.0671,0.7896
2.0626,0.8095
2.0581,0.8301
2.0537,0.8512
2.0493,0.8731
2.045,0.8955
2.0408,0.9186
2.0366,0.9422
2.0325,0.9664
2.0285,0.9911
2.0246,1.0163
2.0208,1.0419
2.0171,1.0679
2.0135,1.0943
2.01,1.121
2.0066,1.1479
2.0034,1.175
2.0003,1.2022
1.9973,1.2295
1.9945,1.2568
1.9918,1.2839
1.9892,1.3109
1.9868,1.3376
1.9846,1.364
1.9825,1.3901
1.9806,1.4157
1.9788,1.4407
1.9772,1.4652
1.9758,1.489
1.9745,1.5122
1.9734,1.5346
1.9725,1.5563
1.9717,1.5771
1.9711,1.5971
1.9707,1.6163
1.9704,1.6346
1.9703,1.6521
1.9703,1.6687
1.9704,1.6844
1.9707,1.6994
1.9711,1.7135
1.9716,1.7268
1.9723,1.7394
1.973,1.7512
1.9739,1.7623
1.9748,1.7728
1.9758,1.7826
1.9769,1.7918
1.9781,1.8004
1.9793,1.8085
1.9806,1.816
1.9819,1.8231
1.9832,1.8297
1.9846,1.8359
1.9861,1.8418
1.9875,1.8472
1.989,1.8523
1.9905,1.8571
1.992,1.8616
1.9935,1.8658
1.995,1.8698
1.9965,1.8736
1.998,1.8771
1.9995,1.8804
2.001,1.8835
2.0025,1.8865
2.004,1.8893
2.0055,1.8919
2.0069,1.8944
2.0084,1.8968
2.0098,1.8991
2.0112,1.9012
2.0126,1.9033
2.014,1.9052
2.0154,1.9071
2.0167,1.9088
2.0181,1.9105
2.0194,1.9122
2.0207,1.9137
2.0219,1.9152
2.0232,1.9167
2.0244,1.9181
2.0257,1.9194
2.0269,1.9207
2.028,1.9219
2.0292,1.9231
2.0303,1.9243
2.0315,1.9254
2.0326,1.9265
2.0336,1.9275
2.0347,1.9286
2.0358,1.9295
2.0368,1.9305
2.0378,1.9314
2.0388,1.9323
2.0398,1.9332
2.0408,1.9341
2.0417,1.9349
2.0427,1.9357
2.0436,1.9365
2.0445,1.9373
2.0454,1.9381
2.0462,1.9388
2.0471,1.9395
2.0479,1.9402
2.0488,1.9409
2.0496,1.9416
2.0504,1.9422
2.0512,1.9429
2.052,1.9435
2.0527,1.9441
2.0535,1.9447
2.0542,1.9453
2.0549,1.9459
2.0556,1.9465
2.0563,1.947
2.057,1.9476
2.0577,1.9481
